資料日期,資料時間,代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間,成交量,進度日期,上市櫃進度
"1150211","163004","7867","特力屋","52.56","51","6000","52.7","3000","53","52","52.37","52.5","B","000000","16190","",""
"1150211","163004","7868","聖育","46.43","45.2","3000","47.3","9999","47.65","44.2","45.15","47.3","B","000000","144737","",""
"1150211","163004","7869","宏于電機","392.68","370","2000","383.5","1999","385","368.5","374.19","383.5","B","000000","25784","",""
"1150211","163004","7870","聯剛科技","176.5","175","2000","177","1374","177","176","176.38","177","B","000000","1639","",""
"1150211","163004","7871","安立璽榮-KY","52.79","62.2","2487","63.1","2888","63.1","54.1","59.75","63.1","B","000000","4352578","",""
"1150211","163004","7872","登豐","35.08","34.05","8000","35","5000","35.3","34.1","34.48","34.6","B","000000","62000","",""
"1150211","163004","7875","安圖斯","70.81","76.2","1999","78.7","3000","78.9","70","75.83","76.2","S","000000","34646","",""
"1150211","163004","7876","鼎晉生技","36.99","36.6","6000","37.15","6000","37.15","36.55","36.87","37.15","B","000000","32700","",""
"1150211","163004","7877","海利普","41.59","42.65","2000","43.75","2800","43.75","41.6","42.63","43.75","B","000000","115863","",""
"1150211","163004","7878","藥祇","293.04","294.5","5000","299.5","4990","300","293.5","296.1","299.5","B","000000","142821","",""
"1150211","163004","7879","益材科技","105.06","97.1","5000","99.9","9587","104","95.1","99.94","99.9","B","000000","234493","",""
"1150211","163004","7880","聖凰","155.45","158","4000","159.5","4592","164","155.5","160.1","159.5","B","000000","271489","",""
"1150211","163004","7881","科明","100.21","98","3000","102","3970","102","98","99.02","102","B","000000","12746","",""
"1150211","163004","7882","倍利創投","23.25","22.1","6000","22.5","10000","23.6","22","22.4","22.5","B","000000","563733","",""
"1150211","163004","7883","饗賓","250.49","247","2000","253.5","2230","255","246","249.52","253.5","B","000000","17151","",""
"1150211","163004","7885","宏羚","28.14","28.3","2000","29.15","3000","28.4","27.6","28.02","28.3","S","000000","38400","",""
"1150211","163004","7886","科建","136.86","158.5","2000","160.5","1850","161.5","138","150.84","160.5","B","000000","507261","",""
"1150211","163004","7887","宇川精材","161.96","158","103898","159","1983","162.5","157.5","158.9","158","S","000000","1135027","",""
"1150211","163004","7888","麗寶新藥","49.65","50.8","8000","51.6","5000","51.7","49.65","50.87","51.4","B","000000","138735","",""
"1150211","163004","7889","騰勢","101.51","103","1000","104","2000","103.5","102","102.5","103","S","000000","25118","",""
"1150211","163004","7890","明曜科技","78.08","76","3000","79.2","3000","79.3","75.7","76.94","79","S","000000","68230","",""
"1150211","163004","7891","博研醫藥","24.18","24.25","2000","24.45","3000","24.5","24.25","24.33","24.35","B","000000","57000","",""
"1150211","163004","7892","元鈦科","702.35","690","3913","695","2460","705","681","692.34","695","B","000000","280906","",""
"1150211","163004","7893","睿信","225","230.5","3000","233","1789","235.5","212","220.98","233","B","000000","661894","",""
"1150211","163004","7895","元進莊","71.92","73.7","3000","76","3000","75.7","73.7","74.48","74","S","000000","108240","",""
"1150211","163004","7896","喬越","364.08","310.5","1999","319","1999","363.5","300","321.89","310.5","S","000000","46808","",""
"1150211","163004","7897","禾迅綠電","42.97","41","2000","42.95","2492","43.5","41","41.41","42.95","B","000000","9122","",""
"1150211","163004","7901","大大寬頻","66.27","66.3","2688","67.2","3000","67.3","66","66.8","66.3","S","000000","18249","",""
"1150211","163004","7902","宇越生醫*","33.54","33.65","3000","35.2","3000","34.95","33.1","34","33.7","S","000000","679507","",""
"1150211","163004","7904","任開數位","26.8","26","3000","26.9","3000","0","0","0","0","","000000","0","",""
"1150211","163004","8058","耐特","69.72","67.6","3000","68.8","5950","70","67.5","68.58","68.8","B","000000","106899","",""
"1150211","163004","8098","慶康科技","234.35","247","2000","252.5","3879","252.5","238.5","247.38","252.5","B","000000","61396","",""
"1150211","163004","8119","公信","7.72","7.62","5000","7.8","4999","7.84","7.52","7.63","7.8","B","000000","97891","",""
"1150211","163004","8298","威睿","29.36","29.3","3000","30","2997","30","30","30","30","B","000000","3","",""
"1150211","163004","8329","台視","10.09","9.91","5000","10.2","5000","10.15","10","10.06","10.15","B","000000","17000","",""
"1150211","163004","8345","超秦","49.14","49.35","3000","50.9","2986","50.9","49.35","49.51","50.9","B","000000","16025","",""
"1150211","163004","8359","錢櫃","61.41","60.4","2999","61.9","2774","61.9","60.4","61.26","61.9","B","000000","26313","",""
"1150211","163004","8458","影一","17.68","17.1","10000","18","10000","18.45","17.6","17.66","17.6","B","000000","11524","",""
"1150211","163004","8999","台灣積層","37.41","37.3","3000","39","6000","0","0","0","0","","000000","0","",""
"1150211","163004","9957","燁聯","6.27","6.24","5000","6.3","4986","6.38","6.24","6.27","6.3","B","000000","269471","",""
